epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.0355,0.63638,0.80531,1,0.38961,0.00046676,0.00046676,0.00046676
2,72.4554,0.32712,0.88496,1,0.23221,0.000903156,0.000903156,0.000903156
3,108.509,0.17796,0.97345,1,0.09181,0.00129169,0.00129169,0.00129169
4,143.924,0.11793,0.97345,1,0.14103,0.00141945,0.00141945,0.00141945
5,179.22,0.13204,0.9646,1,0.10528,0.00133693,0.00133693,0.00133693
6,214.887,0.10745,0.9823,1,0.06503,0.00125442,0.00125442,0.00125442
7,252.162,0.10797,0.97345,1,0.06276,0.0011719,0.0011719,0.0011719
8,494.994,0.13805,0.97345,1,0.04991,0.00108938,0.00108938,0.00108938
9,530.537,0.08909,0.9646,1,0.09075,0.00100687,0.00100687,0.00100687
10,566.628,0.04984,0.9646,1,0.07557,0.000924352,0.000924352,0.000924352
11,602.319,0.05813,0.97345,1,0.06478,0.000841835,0.000841835,0.000841835
12,638.127,0.04112,0.97345,1,0.05541,0.000759318,0.000759318,0.000759318
13,678.923,0.06301,0.97345,1,0.044,0.000676802,0.000676802,0.000676802
14,744.687,0.02363,0.97345,1,0.04373,0.000594286,0.000594286,0.000594286
15,780.038,0.05905,0.97345,1,0.04892,0.000511769,0.000511769,0.000511769
16,816.251,0.03263,0.9823,1,0.05202,0.000429253,0.000429253,0.000429253
17,852.096,0.04315,0.9823,1,0.03981,0.000346736,0.000346736,0.000346736
18,887.192,0.02341,0.9823,1,0.03475,0.00026422,0.00026422,0.00026422
19,922.98,0.02978,0.9823,1,0.03146,0.000181703,0.000181703,0.000181703
20,959.393,0.02172,0.9823,1,0.03233,9.91865e-05,9.91865e-05,9.91865e-05
