epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.4591,0.50964,0.93023,1,0.15857,0.00053344,0.00053344,0.00053344
2,83.311,0.19386,0.96899,1,0.12258,0.00102991,0.00102991,0.00102991
3,128.252,0.08528,0.99225,1,0.06474,0.00147193,0.00147193,0.00147193
4,176.307,0.14781,0.99225,1,0.06853,0.00141945,0.00141945,0.00141945
5,242.774,0.07981,0.97674,1,0.06309,0.00133693,0.00133693,0.00133693
6,297.565,0.09149,0.9845,1,0.07745,0.00125442,0.00125442,0.00125442
7,350.033,0.07067,0.9845,1,0.04589,0.0011719,0.0011719,0.0011719
8,395.732,0.06343,0.9845,1,0.03907,0.00108938,0.00108938,0.00108938
9,465.135,0.05177,0.97674,1,0.05848,0.00100687,0.00100687,0.00100687
10,532.882,0.04888,0.96899,1,0.09122,0.000924352,0.000924352,0.000924352
11,582.885,0.05421,0.97674,1,0.19142,0.000841835,0.000841835,0.000841835
12,644.957,0.03278,0.9845,1,0.06895,0.000759318,0.000759318,0.000759318
13,694.558,0.02832,0.99225,1,0.04718,0.000676802,0.000676802,0.000676802
14,817.166,0.03781,0.99225,1,0.03968,0.000594286,0.000594286,0.000594286
15,923.863,0.1225,0.99225,1,0.04222,0.000511769,0.000511769,0.000511769
16,994.427,0.02676,0.9845,1,0.04593,0.000429253,0.000429253,0.000429253
17,1054.86,0.0192,0.9845,1,0.04782,0.000346736,0.000346736,0.000346736
18,1148.49,0.02502,0.9845,1,0.04764,0.00026422,0.00026422,0.00026422
19,1224.08,0.06072,0.99225,1,0.04947,0.000181703,0.000181703,0.000181703
20,1271.17,0.0157,0.99225,1,0.04761,9.91865e-05,9.91865e-05,9.91865e-05
