epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,113.926,0.35256,1,1,0.01723,0.0005001,0.0005001,0.0005001
2,210.078,0.12647,1,1,0.00047,0.000966535,0.000966535,0.000966535
3,288.319,0.0241,0.99187,1,0.00918,0.00138181,0.00138181,0.00138181
4,426.704,0.04147,1,1,0.00502,0.00141945,0.00141945,0.00141945
5,560.394,0.0124,1,1,0.0058,0.00133693,0.00133693,0.00133693
6,690.935,0.02618,1,1,0.00019,0.00125442,0.00125442,0.00125442
7,839.409,0.00679,1,1,0.00163,0.0011719,0.0011719,0.0011719
8,958.908,0.01729,1,1,0.00013,0.00108938,0.00108938,0.00108938
9,1082.87,0.03484,0.99187,1,0.00823,0.00100687,0.00100687,0.00100687
10,1203.24,0.02073,1,1,0.00356,0.000924352,0.000924352,0.000924352
11,1362.72,0.00735,1,1,0.00071,0.000841835,0.000841835,0.000841835
12,1438.6,0.00613,1,1,0.00013,0.000759318,0.000759318,0.000759318
13,1514.9,0.04741,1,1,0.00026,0.000676802,0.000676802,0.000676802
14,1590.57,0.01091,1,1,0.00229,0.000594286,0.000594286,0.000594286
15,1667.64,0.00471,1,1,0.0019,0.000511769,0.000511769,0.000511769
16,1743.24,0.01565,1,1,0.00148,0.000429253,0.000429253,0.000429253
17,1820.48,0.0091,1,1,0.00142,0.000346736,0.000346736,0.000346736
18,1899.14,0.00473,1,1,0.0025,0.00026422,0.00026422,0.00026422
19,1973.67,0.0039,1,1,0.00245,0.000181703,0.000181703,0.000181703
20,2047.32,0.00499,1,1,0.00077,9.91865e-05,9.91865e-05,9.91865e-05
