epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.3862,0.55684,0.95082,1,0.21719,0.0005001,0.0005001,0.0005001
2,103.463,0.14936,0.98361,1,0.03716,0.000966535,0.000966535,0.000966535
3,155.478,0.086,0.98361,1,0.02131,0.00138181,0.00138181,0.00138181
4,206.697,0.07594,0.98361,1,0.05459,0.00141945,0.00141945,0.00141945
5,317.368,0.05672,0.98361,1,0.05741,0.00133693,0.00133693,0.00133693
6,418.708,0.05761,0.97541,1,0.06116,0.00125442,0.00125442,0.00125442
7,518.183,0.06227,0.98361,1,0.05233,0.0011719,0.0011719,0.0011719
8,624.532,0.06563,0.98361,1,0.04222,0.00108938,0.00108938,0.00108938
9,732.28,0.08776,0.9918,1,0.02865,0.00100687,0.00100687,0.00100687
10,872.544,0.01452,0.96721,1,0.06181,0.000924352,0.000924352,0.000924352
11,986.276,0.03426,0.97541,1,0.0337,0.000841835,0.000841835,0.000841835
12,1085.75,0.02077,0.98361,1,0.03938,0.000759318,0.000759318,0.000759318
13,1182.98,0.04163,0.98361,1,0.03821,0.000676802,0.000676802,0.000676802
14,1286.24,0.01238,0.98361,1,0.06086,0.000594286,0.000594286,0.000594286
15,1385.97,0.01864,0.98361,1,0.06472,0.000511769,0.000511769,0.000511769
16,1488.03,0.04061,0.98361,1,0.04279,0.000429253,0.000429253,0.000429253
17,1589.32,0.02019,0.98361,1,0.06204,0.000346736,0.000346736,0.000346736
18,1689.09,0.02571,0.9918,1,0.06547,0.00026422,0.00026422,0.00026422
19,1788.11,0.02007,0.9918,1,0.04855,0.000181703,0.000181703,0.000181703
20,1887.54,0.01662,0.9918,1,0.05074,9.91865e-05,9.91865e-05,9.91865e-05
